Min Age,Max Age,Profession,PartnerStatus,SA4 CODE,SA4 (Region name),Tot_inc_amt,Help_debt
15,19,Clerical and Administrative Workers,No,101,Capital Region,16521,0
15,19,Clerical and Administrative Workers,No,102,Central Coast,14108,317
15,19,Clerical and Administrative Workers,No,103,Central West,17883,0
15,19,Clerical and Administrative Workers,No,104,Coffs Harbour - Grafton,14976,0
15,19,Clerical and Administrative Workers,No,105,Far West and Orana,22764,0
15,19,Clerical and Administrative Workers,No,106,Hunter Valley exc Newcastle,13359,0
15,19,Clerical and Administrative Workers,No,107,Illawarra,23125,3022
15,19,Clerical and Administrative Workers,No,108,Mid North Coast,26283,0
15,19,Clerical and Administrative Workers,No,109,Murray,12171,0
15,19,Clerical and Administrative Workers,No,110,New England and North West,32513,0
15,19,Clerical and Administrative Workers,No,111,Newcastle and Lake Macquarie,16777,1289
15,19,Clerical and Administrative Workers,No,112,Richmond - Tweed,17454,1681
15,19,Clerical and Administrative Workers,No,113,Riverina,9971,0
15,19,Clerical and Administrative Workers,No,114,Southern Highlands and Shoalhaven,29151,0
15,19,Clerical and Administrative Workers,No,115,Sydney - Baulkham Hills and Hawkesbury,21540,1741
15,19,Clerical and Administrative Workers,No,116,Sydney - Blacktown,17174,3474
15,19,Clerical and Administrative Workers,No,117,Sydney - City and Inner South,13302,0
15,19,Clerical and Administrative Workers,No,118,Sydney - Eastern Suburbs,17507,0
15,19,Clerical and Administrative Workers,No,119,Sydney - Inner South West,14785,640
15,19,Clerical and Administrative Workers,No,120,Sydney - Inner West,45986,1404
15,19,Clerical and Administrative Workers,No,121,Sydney - North Sydney and Hornsby,27002,847
15,19,Clerical and Administrative Workers,No,122,Sydney - Northern Beaches,19459,3054
15,19,Clerical and Administrative Workers,No,123,Sydney - Outer South West,21324,1794
15,19,Clerical and Administrative Workers,No,124,Sydney - Outer West and Blue Mountains,24321,2755
15,19,Clerical and Administrative Workers,No,125,Sydney - Parramatta,22665,0
15,19,Clerical and Administrative Workers,No,126,Sydney - Ryde,36099,1238
15,19,Clerical and Administrative Workers,No,127,Sydney - South West,21489,3503
15,19,Clerical and Administrative Workers,No,128,Sydney - Sutherland,18437,2319
15,19,Clerical and Administrative Workers,No,201,Ballarat,10147,0
15,19,Clerical and Administrative Workers,No,202,Bendigo,11039,0
15,19,Clerical and Administrative Workers,No,203,Geelong,10904,17
15,19,Clerical and Administrative Workers,No,204,Hume,25786,4281
15,19,Clerical and Administrative Workers,No,205,Latrobe - Gippsland,40151,0
15,19,Clerical and Administrative Workers,No,206,Melbourne - Inner,30218,1835
15,19,Clerical and Administrative Workers,No,207,Melbourne - Inner East,26170,2677
15,19,Clerical and Administrative Workers,No,208,Melbourne - Inner South,34314,2690
15,19,Clerical and Administrative Workers,No,209,Melbourne - North East,21016,930
15,19,Clerical and Administrative Workers,No,210,Melbourne - North West,14051,1120
15,19,Clerical and Administrative Workers,No,211,Melbourne - Outer East,16955,599
15,19,Clerical and Administrative Workers,No,212,Melbourne - South East,30952,1741
15,19,Clerical and Administrative Workers,No,213,Melbourne - West,13981,1585
15,19,Clerical and Administrative Workers,No,214,Mornington Peninsula,39121,0
15,19,Clerical and Administrative Workers,No,215,North West,24866,3119
15,19,Clerical and Administrative Workers,No,216,Shepparton,16229,0
15,19,Clerical and Administrative Workers,No,217,Warrnambool and South West,44193,0
15,19,Clerical and Administrative Workers,No,301,Brisbane - East,29196,1207
15,19,Clerical and Administrative Workers,No,302,Brisbane - North,23240,5152
15,19,Clerical and Administrative Workers,No,303,Brisbane - South,19800,0
15,19,Clerical and Administrative Workers,No,304,Brisbane - West,24624,1537
15,19,Clerical and Administrative Workers,No,305,Brisbane Inner City,14636,3545
15,19,Clerical and Administrative Workers,No,306,Cairns,43505,0
15,19,Clerical and Administrative Workers,No,307,Darling Downs - Maranoa,26445,1468
15,19,Clerical and Administrative Workers,No,308,Fitzroy,18526,5115
15,19,Clerical and Administrative Workers,No,309,Gold Coast,24234,4385
15,19,Clerical and Administrative Workers,No,310,Ipswich,18947,1504
15,19,Clerical and Administrative Workers,No,311,Logan - Beaudesert,14735,4141
15,19,Clerical and Administrative Workers,No,312,Mackay,26438,0
15,19,Clerical and Administrative Workers,No,313,Moreton Bay - North,26770,2802
15,19,Clerical and Administrative Workers,No,314,Moreton Bay - South,17632,1867
15,19,Clerical and Administrative Workers,No,316,Sunshine Coast,19622,2296
