State/Territory,Region Name,Industry,Industry Division,Employment by Industry - Total,Full-Time,Part-Time,Male,Female,Employment Distribution (%)
NSW,New South Wales,"Agriculture, Forestry and Fishing",A,88100,66200,21900,60200,27900,2.3
NSW,New South Wales,Mining,B,38300,37600,600,33800,4400,1.0
NSW,New South Wales,Manufacturing,C,263300,222000,41300,188800,74500,7.0
NSW,New South Wales,"Electricity, Gas, Water and Waste Services",D,43900,39600,4300,34800,9100,1.2
NSW,New South Wales,Construction,E,315100,266100,49000,281000,34100,8.3
NSW,New South Wales,Wholesale Trade,F,131600,108300,23200,87500,44100,3.5
NSW,New South Wales,Retail Trade,G,394500,202000,192500,176300,218200,10.4
NSW,New South Wales,Accommodation and Food Services,H,267100,109800,157400,123000,144100,7.1
NSW,New South Wales,"Transport, Postal and Warehousing",I,200800,157000,43800,156400,44400,5.3
NSW,New South Wales,Information Media and Telecommunications,J,81500,67200,14300,50400,31100,2.2
NSW,New South Wales,Financial and Insurance Services,K,186000,158000,28000,89900,96100,4.9
NSW,New South Wales,"Rental, Hiring and Real Estate Services",L,69900,54500,15500,35500,34500,1.8
NSW,New South Wales,"Professional, Scientific and Technical Services",M,360700,285600,75000,207300,153400,9.5
NSW,New South Wales,Administrative and Support Services,N,138000,86200,51800,69700,68300,3.6
NSW,New South Wales,Public Administration and Safety,O,204000,166900,37100,109100,94900,5.4
NSW,New South Wales,Education and Training,P,296700,184300,112400,91700,205100,7.8
NSW,New South Wales,Health Care and Social Assistance,Q,489700,293900,195800,105800,383900,12.9
NSW,New South Wales,Arts and Recreation Services,R,70100,41900,28100,38100,32000,1.9
NSW,New South Wales,Other Services,S,146200,99500,46700,84600,61600,3.9
VIC,Victoria,"Agriculture, Forestry and Fishing",A,95700,66200,29600,65100,30600,3.2
VIC,Victoria,Mining,B,8900,8900,0,7200,1700,0.3
VIC,Victoria,Manufacturing,C,266800,222500,44300,192500,74300,8.9
VIC,Victoria,"Electricity, Gas, Water and Waste Services",D,36000,33300,2700,27200,8900,1.2
VIC,Victoria,Construction,E,268200,223500,44600,237400,30700,9.0
VIC,Victoria,Wholesale Trade,F,101200,83700,17500,67400,33900,3.4
VIC,Victoria,Retail Trade,G,334600,169700,164900,152500,182100,11.2
VIC,Victoria,Accommodation and Food Services,H,200000,79300,120600,97200,102800,6.7
VIC,Victoria,"Transport, Postal and Warehousing",I,158400,127800,30600,122500,35900,5.3
VIC,Victoria,Information Media and Telecommunications,J,59400,46300,13100,36000,23400,2.0
VIC,Victoria,Financial and Insurance Services,K,115100,95000,20100,60500,54600,3.8
VIC,Victoria,"Rental, Hiring and Real Estate Services",L,47400,33500,13800,25300,22100,1.6
VIC,Victoria,"Professional, Scientific and Technical Services",M,257100,196800,60300,154700,102400,8.6
VIC,Victoria,Administrative and Support Services,N,110300,61500,48800,56700,53700,3.7
VIC,Victoria,Public Administration and Safety,O,145400,112100,33300,72500,72800,4.9
VIC,Victoria,Education and Training,P,236200,140100,96100,70200,166000,7.9
VIC,Victoria,Health Care and Social Assistance,Q,380500,199500,181000,82600,297900,12.7
VIC,Victoria,Arts and Recreation Services,R,63500,31400,32100,35000,28500,2.1
VIC,Victoria,Other Services,S,107500,73000,34400,58300,49200,3.6
QLD,Queensland,"Agriculture, Forestry and Fishing",A,59400,44500,14900,39600,19800,2.5
QLD,Queensland,Mining,B,59600,58000,1500,51800,7800,2.5
QLD,Queensland,Manufacturing,C,168800,148000,20800,129500,39300,7.1
QLD,Queensland,"Electricity, Gas, Water and Waste Services",D,31100,28500,2600,23200,7900,1.3
QLD,Queensland,Construction,E,208400,183500,25000,185500,22900,8.8
QLD,Queensland,Wholesale Trade,F,68400,57300,11100,48600,19900,2.9
QLD,Queensland,Retail Trade,G,255000,133100,121800,111700,143300,10.8
QLD,Queensland,Accommodation and Food Services,H,166700,63800,102900,72900,93700,7.1
QLD,Queensland,"Transport, Postal and Warehousing",I,133000,106200,26800,102100,30900,5.6
QLD,Queensland,Information Media and Telecommunications,J,32700,26500,6300,18600,14200,1.4
QLD,Queensland,Financial and Insurance Services,K,66600,53600,13000,28000,38500,2.8
QLD,Queensland,"Rental, Hiring and Real Estate Services",L,48500,38300,10300,21100,27400,2.1
QLD,Queensland,"Professional, Scientific and Technical Services",M,176300,135800,40600,101100,75200,7.5
