SA4 Code,SA4 Name,Field,Number Of People
101,Capital Region,Natural & Physical Sciences,1792
102,Central Coast,Natural & Physical Sciences,1628
103,Central West,Natural & Physical Sciences,1010
104,Coffs Harbour - Grafton,Natural & Physical Sciences,640
105,Far West and Orana,Natural & Physical Sciences,419
106,Hunter Valley exc Newcastle,Natural & Physical Sciences,1282
107,Illawarra,Natural & Physical Sciences,2430
108,Mid North Coast,Natural & Physical Sciences,738
109,Murray,Natural & Physical Sciences,500
110,New England and North West,Natural & Physical Sciences,1030
111,Newcastle and Lake Macquarie,Natural & Physical Sciences,2979
112,Richmond - Tweed,Natural & Physical Sciences,1358
113,Riverina,Natural & Physical Sciences,881
114,Southern Highlands and Shoalhaven,Natural & Physical Sciences,778
115,Sydney - Baulkham Hills and Hawkesbury,Natural & Physical Sciences,3081
116,Sydney - Blacktown,Natural & Physical Sciences,3047
117,Sydney - City and Inner South,Natural & Physical Sciences,5315
118,Sydney - Eastern Suburbs,Natural & Physical Sciences,4395
119,Sydney - Inner South West,Natural & Physical Sciences,5475
120,Sydney - Inner West,Natural & Physical Sciences,4674
121,Sydney - North Sydney and Hornsby,Natural & Physical Sciences,7682
122,Sydney - Northern Beaches,Natural & Physical Sciences,3421
123,Sydney - Outer South West,Natural & Physical Sciences,1623
124,Sydney - Outer West and Blue Mountains,Natural & Physical Sciences,2181
125,Sydney - Parramatta,Natural & Physical Sciences,5424
126,Sydney - Ryde,Natural & Physical Sciences,3509
127,Sydney - South West,Natural & Physical Sciences,2600
128,Sydney - Sutherland,Natural & Physical Sciences,2287
201,Ballarat,Natural & Physical Sciences,929
202,Bendigo,Natural & Physical Sciences,980
203,Geelong,Natural & Physical Sciences,2562
204,Hume,Natural & Physical Sciences,994
205,Latrobe - Gippsland,Natural & Physical Sciences,1339
206,Melbourne - Inner,Natural & Physical Sciences,12203
207,Melbourne - Inner East,Natural & Physical Sciences,6833
208,Melbourne - Inner South,Natural & Physical Sciences,6635
209,Melbourne - North East,Natural & Physical Sciences,6120
210,Melbourne - North West,Natural & Physical Sciences,2938
211,Melbourne - Outer East,Natural & Physical Sciences,5676
212,Melbourne - South East,Natural & Physical Sciences,7841
213,Melbourne - West,Natural & Physical Sciences,6381
214,Mornington Peninsula,Natural & Physical Sciences,1757
215,North West,Natural & Physical Sciences,601
216,Shepparton,Natural & Physical Sciences,577
217,Warrnambool and South West,Natural & Physical Sciences,676
301,Brisbane - East,Natural & Physical Sciences,1663
302,Brisbane - North,Natural & Physical Sciences,1998
303,Brisbane - South,Natural & Physical Sciences,4948
304,Brisbane - West,Natural & Physical Sciences,4560
305,Brisbane Inner City,Natural & Physical Sciences,4761
306,Cairns,Natural & Physical Sciences,1637
307,Darling Downs - Maranoa,Natural & Physical Sciences,429
308,Fitzroy,Natural & Physical Sciences,1068
309,Gold Coast,Natural & Physical Sciences,3159
310,Ipswich,Natural & Physical Sciences,1922
311,Logan - Beaudesert,Natural & Physical Sciences,1421
312,Mackay,Natural & Physical Sciences,760
313,Moreton Bay - North,Natural & Physical Sciences,879
314,Moreton Bay - South,Natural & Physical Sciences,1401
315,Queensland - Outback,Natural & Physical Sciences,352
316,Sunshine Coast,Natural & Physical Sciences,1828
317,Toowoomba,Natural & Physical Sciences,967
318,Townsville,Natural & Physical Sciences,2064
319,Wide Bay,Natural & Physical Sciences,944
401,Adelaide - Central and Hills,Natural & Physical Sciences,5070
402,Adelaide - North,Natural & Physical Sciences,2886
403,Adelaide - South,Natural & Physical Sciences,4239
404,Adelaide - West,Natural & Physical Sciences,2431
405,Barossa - Yorke - Mid North,Natural & Physical Sciences,568
406,South Australia - Outback,Natural & Physical Sciences,319
407,South Australia - South East,Natural & Physical Sciences,747
501,Bunbury,Natural & Physical Sciences,1141
502,Mandurah,Natural & Physical Sciences,362
503,Perth - Inner,Natural & Physical Sciences,4605
504,Perth - North East,Natural & Physical Sciences,2430
505,Perth - North West,Natural & Physical Sciences,6029
506,Perth - South East,Natural & Physical Sciences,6155
507,Perth - South West,Natural & Physical Sciences,4803
508,Western Australia - Outback,Natural & Physical Sciences,1549
509,Western Australia - Wheat Belt,Natural & Physical Sciences,728
601,Hobart,Natural & Physical Sciences,3125
602,Launceston and North East,Natural & Physical Sciences,881
603,South East,Natural & Physical Sciences,312
604,West and North West,Natural & Physical Sciences,436
701,Darwin,Natural & Physical Sciences,1223
702,Northern Territory - Outback,Natural & Physical Sciences,469
801,Australian Capital Territory,Natural & Physical Sciences,9544
101,Capital Region,Information Technology,1491
102,Central Coast,Information Technology,1857
103,Central West,Information Technology,655
104,Coffs Harbour - Grafton,Information Technology,523
105,Far West and Orana,Information Technology,275
106,Hunter Valley exc Newcastle,Information Technology,878
107,Illawarra,Information Technology,2233
108,Mid North Coast,Information Technology,744
109,Murray,Information Technology,400
110,New England and North West,Information Technology,523
111,Newcastle and Lake Macquarie,Information Technology,2139
112,Richmond - Tweed,Information Technology,948
113,Riverina,Information Technology,511
114,Southern Highlands and Shoalhaven,Information Technology,421
115,Sydney - Baulkham Hills and Hawkesbury,Information Technology,3688
116,Sydney - Blacktown,Information Technology,5462
117,Sydney - City and Inner South,Information Technology,6469
118,Sydney - Eastern Suburbs,Information Technology,3596
119,Sydney - Inner South West,Information Technology,9616
120,Sydney - Inner West,Information Technology,6210
121,Sydney - North Sydney and Hornsby,Information Technology,9367
122,Sydney - Northern Beaches,Information Technology,3283
123,Sydney - Outer South West,Information Technology,1980
124,Sydney - Outer West and Blue Mountains,Information Technology,2162
125,Sydney - Parramatta,Information Technology,9835
126,Sydney - Ryde,Information Technology,4581
127,Sydney - South West,Information Technology,3929
128,Sydney - Sutherland,Information Technology,2013
201,Ballarat,Information Technology,1020
202,Bendigo,Information Technology,857
203,Geelong,Information Technology,1680
204,Hume,Information Technology,641
205,Latrobe - Gippsland,Information Technology,862
206,Melbourne - Inner,Information Technology,11639
207,Melbourne - Inner East,Information Technology,7838
208,Melbourne - Inner South,Information Technology,7699
209,Melbourne - North East,Information Technology,6333
210,Melbourne - North West,Information Technology,3636
211,Melbourne - Outer East,Information Technology,6647
212,Melbourne - South East,Information Technology,11573
213,Melbourne - West,Information Technology,10989
214,Mornington Peninsula,Information Technology,1774
215,North West,Information Technology,325
216,Shepparton,Information Technology,264
217,Warrnambool and South West,Information Technology,273
301,Brisbane - East,Information Technology,1766
302,Brisbane - North,Information Technology,2506
303,Brisbane - South,Information Technology,5715
304,Brisbane - West,Information Technology,2932
305,Brisbane Inner City,Information Technology,4232
306,Cairns,Information Technology,830
307,Darling Downs - Maranoa,Information Technology,223
308,Fitzroy,Information Technology,761
309,Gold Coast,Information Technology,3426
310,Ipswich,Information Technology,2033
311,Logan - Beaudesert,Information Technology,1984
312,Mackay,Information Technology,439
313,Moreton Bay - North,Information Technology,1106
314,Moreton Bay - South,Information Technology,1679
315,Queensland - Outback,Information Technology,137
316,Sunshine Coast,Information Technology,1362
317,Toowoomba,Information Technology,728
318,Townsville,Information Technology,945
319,Wide Bay,Information Technology,759
401,Adelaide - Central and Hills,Information Technology,3150
402,Adelaide - North,Information Technology,3400
403,Adelaide - South,Information Technology,2799
404,Adelaide - West,Information Technology,2125
405,Barossa - Yorke - Mid North,Information Technology,219
406,South Australia - Outback,Information Technology,178
407,South Australia - South East,Information Technology,399
501,Bunbury,Information Technology,490
502,Mandurah,Information Technology,296
503,Perth - Inner,Information Technology,1934
504,Perth - North East,Information Technology,1932
505,Perth - North West,Information Technology,4790
506,Perth - South East,Information Technology,4743
507,Perth - South West,Information Technology,2918
508,Western Australia - Outback,Information Technology,585
509,Western Australia - Wheat Belt,Information Technology,303
601,Hobart,Information Technology,1941
602,Launceston and North East,Information Technology,709
603,South East,Information Technology,135
604,West and North West,Information Technology,400
701,Darwin,Information Technology,1029
702,Northern Territory - Outback,Information Technology,234
801,Australian Capital Territory,Information Technology,10438
101,Capital Region,Engineering & Related Technologies,10055
102,Central Coast,Engineering & Related Technologies,15097
103,Central West,Engineering & Related Technologies,10553
104,Coffs Harbour - Grafton,Engineering & Related Technologies,5726
105,Far West and Orana,Engineering & Related Technologies,4917
106,Hunter Valley exc Newcastle,Engineering & Related Technologies,18942
107,Illawarra,Engineering & Related Technologies,18774
108,Mid North Coast,Engineering & Related Technologies,8675
109,Murray,Engineering & Related Technologies,5240
110,New England and North West,Engineering & Related Technologies,7409
111,Newcastle and Lake Macquarie,Engineering & Related Technologies,23116
112,Richmond - Tweed,Engineering & Related Technologies,9181
113,Riverina,Engineering & Related Technologies,7261
114,Southern Highlands and Shoalhaven,Engineering & Related Technologies,7319
115,Sydney - Baulkham Hills and Hawkesbury,Engineering & Related Technologies,12978
116,Sydney - Blacktown,Engineering & Related Technologies,16857
117,Sydney - City and Inner South,Engineering & Related Technologies,10384
118,Sydney - Eastern Suburbs,Engineering & Related Technologies,9586
119,Sydney - Inner South West,Engineering & Related Technologies,24345
120,Sydney - Inner West,Engineering & Related Technologies,11193
121,Sydney - North Sydney and Hornsby,Engineering & Related Technologies,15715
122,Sydney - Northern Beaches,Engineering & Related Technologies,11080
123,Sydney - Outer South West,Engineering & Related Technologies,14571
124,Sydney - Outer West and Blue Mountains,Engineering & Related Technologies,17090
125,Sydney - Parramatta,Engineering & Related Technologies,19453
126,Sydney - Ryde,Engineering & Related Technologies,8674
127,Sydney - South West,Engineering & Related Technologies,17110
128,Sydney - Sutherland,Engineering & Related Technologies,14226
201,Ballarat,Engineering & Related Technologies,6783
202,Bendigo,Engineering & Related Technologies,6678
203,Geelong,Engineering & Related Technologies,12959
204,Hume,Engineering & Related Technologies,8445
205,Latrobe - Gippsland,Engineering & Related Technologies,14813
206,Melbourne - Inner,Engineering & Related Technologies,20525
207,Melbourne - Inner East,Engineering & Related Technologies,14513
208,Melbourne - Inner South,Engineering & Related Technologies,17330
209,Melbourne - North East,Engineering & Related Technologies,23400
210,Melbourne - North West,Engineering & Related Technologies,16965
211,Melbourne - Outer East,Engineering & Related Technologies,28720
212,Melbourne - South East,Engineering & Related Technologies,38293
213,Melbourne - West,Engineering & Related Technologies,33664
214,Mornington Peninsula,Engineering & Related Technologies,13839
