State,Year,Month,Vacancies
NSW,1979,5,0
NSW,1979,8,0
NSW,1979,11,0
NSW,1980,2,0
NSW,1980,5,0
NSW,1980,8,0
NSW,1980,11,0
NSW,1981,2,0
NSW,1981,5,0
NSW,1981,8,0
NSW,1981,11,0
NSW,1982,2,0
NSW,1982,5,0
NSW,1982,8,0
NSW,1982,11,0
NSW,1983,2,0
NSW,1983,5,0
NSW,1983,8,0
NSW,1983,11,13600
NSW,1984,2,24600
NSW,1984,5,18100
NSW,1984,8,21300
NSW,1984,11,17600
NSW,1985,2,23500
NSW,1985,5,27500
NSW,1985,8,18900
NSW,1985,11,20700
NSW,1986,2,26500
NSW,1986,5,25300
NSW,1986,8,21800
NSW,1986,11,26000
NSW,1987,2,29800
NSW,1987,5,24000
NSW,1987,8,27800
NSW,1987,11,29100
NSW,1988,2,31200
NSW,1988,5,27000
NSW,1988,8,37300
NSW,1988,11,32900
NSW,1989,2,32700
NSW,1989,5,32000
NSW,1989,8,27600
NSW,1989,11,30100
NSW,1990,2,30000
NSW,1990,5,24400
NSW,1990,8,26400
NSW,1990,11,19300
NSW,1991,2,14200
NSW,1991,5,12500
NSW,1991,8,13400
NSW,1991,11,9400
NSW,1992,2,13300
NSW,1992,5,7700
NSW,1992,8,11600
NSW,1992,11,13500
NSW,1993,2,12800
NSW,1993,5,16700
NSW,1993,8,19000
NSW,1993,11,16300
NSW,1994,2,23400
NSW,1994,5,22600
NSW,1994,8,36800
NSW,1994,11,38500
NSW,1995,2,31300
NSW,1995,5,31700
NSW,1995,8,42800
NSW,1995,11,33500
NSW,1996,2,35400
NSW,1996,5,32500
NSW,1996,8,33700
NSW,1996,11,34200
NSW,1997,2,30400
NSW,1997,5,26100
NSW,1997,8,25500
NSW,1997,11,30300
NSW,1998,2,31200
NSW,1998,5,27300
NSW,1998,8,35300
NSW,1998,11,32200
NSW,1999,2,32600
NSW,1999,5,40100
NSW,1999,8,51800
NSW,1999,11,39500
NSW,2000,2,49600
NSW,2000,5,44900
NSW,2000,8,47300
NSW,2000,11,43600
NSW,2001,2,34400
NSW,2001,5,30600
NSW,2001,8,29800
NSW,2001,11,28900
NSW,2002,2,23900
NSW,2002,5,31100
NSW,2002,8,34700
NSW,2002,11,34800
NSW,2003,2,39000
NSW,2003,5,38200
NSW,2003,8,36100
NSW,2003,11,36400
NSW,2004,2,37300
NSW,2004,5,43700
NSW,2004,8,40500
NSW,2004,11,45300
NSW,2005,2,48200
NSW,2005,5,41200
NSW,2005,8,39100
NSW,2005,11,45400
NSW,2006,2,46600
NSW,2006,5,41700
NSW,2006,8,42500
NSW,2006,11,47700
NSW,2007,2,48200
NSW,2007,5,51900
NSW,2007,8,51700
NSW,2007,11,55500
NSW,2008,2,54700
NSW,2008,5,56500
NSW,2008,8,0
NSW,2008,11,0
NSW,2009,2,0
NSW,2009,5,0
NSW,2009,8,0
