POSTCODE,SA4 CODE,SA4 NAME
0800,701,Darwin
0810,701,Darwin
0812,701,Darwin
0820,701,Darwin
0822,701,Darwin
0822,702,Northern Territory - Outback
0828,701,Darwin
0829,701,Darwin
0830,701,Darwin
0832,701,Darwin
0835,701,Darwin
0836,701,Darwin
0837,701,Darwin
0838,701,Darwin
0840,702,Northern Territory - Outback
0841,701,Darwin
0845,702,Northern Territory - Outback
0846,702,Northern Territory - Outback
0847,702,Northern Territory - Outback
0850,702,Northern Territory - Outback
0852,508,Western Australia - Outback
0852,702,Northern Territory - Outback
0853,702,Northern Territory - Outback
0854,702,Northern Territory - Outback
0860,702,Northern Territory - Outback
0862,702,Northern Territory - Outback
0870,702,Northern Territory - Outback
0872,406,South Australia - Outback
0872,508,Western Australia - Outback
0872,702,Northern Territory - Outback
0880,702,Northern Territory - Outback
0885,702,Northern Territory - Outback
0886,702,Northern Territory - Outback
0909,701,Darwin
2000,117,Sydney - City and Inner South
2006,117,Sydney - City and Inner South
2007,117,Sydney - City and Inner South
2008,117,Sydney - City and Inner South
2009,117,Sydney - City and Inner South
2010,117,Sydney - City and Inner South
2011,117,Sydney - City and Inner South
2015,117,Sydney - City and Inner South
2016,117,Sydney - City and Inner South
2017,117,Sydney - City and Inner South
2018,117,Sydney - City and Inner South
2019,117,Sydney - City and Inner South
2020,117,Sydney - City and Inner South
2021,118,Sydney - Eastern Suburbs
2022,118,Sydney - Eastern Suburbs
2023,118,Sydney - Eastern Suburbs
2024,118,Sydney - Eastern Suburbs
2025,118,Sydney - Eastern Suburbs
2026,118,Sydney - Eastern Suburbs
2027,118,Sydney - Eastern Suburbs
2028,118,Sydney - Eastern Suburbs
2029,118,Sydney - Eastern Suburbs
2030,118,Sydney - Eastern Suburbs
2031,118,Sydney - Eastern Suburbs
2032,117,Sydney - City and Inner South
2032,118,Sydney - Eastern Suburbs
2033,117,Sydney - City and Inner South
2033,118,Sydney - Eastern Suburbs
2034,118,Sydney - Eastern Suburbs
2035,117,Sydney - City and Inner South
2035,118,Sydney - Eastern Suburbs
2036,117,Sydney - City and Inner South
2036,118,Sydney - Eastern Suburbs
2037,117,Sydney - City and Inner South
2038,117,Sydney - City and Inner South
2038,120,Sydney - Inner West
2039,120,Sydney - Inner West
2040,120,Sydney - Inner West
2041,120,Sydney - Inner West
2042,117,Sydney - City and Inner South
2043,117,Sydney - City and Inner South
2044,117,Sydney - City and Inner South
2045,120,Sydney - Inner West
2046,120,Sydney - Inner West
2047,120,Sydney - Inner West
2048,117,Sydney - City and Inner South
2048,120,Sydney - Inner West
2049,117,Sydney - City and Inner South
2049,120,Sydney - Inner West
2050,117,Sydney - City and Inner South
2052,118,Sydney - Eastern Suburbs
2060,121,Sydney - North Sydney and Hornsby
2061,121,Sydney - North Sydney and Hornsby
2062,121,Sydney - North Sydney and Hornsby
2063,121,Sydney - North Sydney and Hornsby
2064,121,Sydney - North Sydney and Hornsby
2065,121,Sydney - North Sydney and Hornsby
2066,121,Sydney - North Sydney and Hornsby
2067,121,Sydney - North Sydney and Hornsby
2068,121,Sydney - North Sydney and Hornsby
2069,121,Sydney - North Sydney and Hornsby
2070,121,Sydney - North Sydney and Hornsby
2071,121,Sydney - North Sydney and Hornsby
2072,121,Sydney - North Sydney and Hornsby
2073,121,Sydney - North Sydney and Hornsby
2074,121,Sydney - North Sydney and Hornsby
2075,121,Sydney - North Sydney and Hornsby
2076,121,Sydney - North Sydney and Hornsby
2077,121,Sydney - North Sydney and Hornsby
2079,121,Sydney - North Sydney and Hornsby
2080,121,Sydney - North Sydney and Hornsby
2081,121,Sydney - North Sydney and Hornsby
2082,115,Sydney - Baulkham Hills and Hawkesbury
2082,121,Sydney - North Sydney and Hornsby
2083,102,Central Coast
2083,121,Sydney - North Sydney and Hornsby
2084,122,Sydney - Northern Beaches
2085,122,Sydney - Northern Beaches
2086,122,Sydney - Northern Beaches
2087,122,Sydney - Northern Beaches
2088,121,Sydney - North Sydney and Hornsby
2089,121,Sydney - North Sydney and Hornsby
2090,121,Sydney - North Sydney and Hornsby
2092,122,Sydney - Northern Beaches
2093,122,Sydney - Northern Beaches
2094,122,Sydney - Northern Beaches
2095,122,Sydney - Northern Beaches
2096,122,Sydney - Northern Beaches
2097,122,Sydney - Northern Beaches
2099,122,Sydney - Northern Beaches
2100,122,Sydney - Northern Beaches
2101,122,Sydney - Northern Beaches
2102,122,Sydney - Northern Beaches
2103,122,Sydney - Northern Beaches
2104,122,Sydney - Northern Beaches
2105,122,Sydney - Northern Beaches
2106,122,Sydney - Northern Beaches
2107,122,Sydney - Northern Beaches
2108,122,Sydney - Northern Beaches
2109,126,Sydney - Ryde
2110,126,Sydney - Ryde
2111,126,Sydney - Ryde
2112,126,Sydney - Ryde
2113,126,Sydney - Ryde
2114,125,Sydney - Parramatta
2114,126,Sydney - Ryde
2115,125,Sydney - Parramatta
2116,125,Sydney - Parramatta
2117,125,Sydney - Parramatta
2118,125,Sydney - Parramatta
2119,125,Sydney - Parramatta
2119,126,Sydney - Ryde
2120,115,Sydney - Baulkham Hills and Hawkesbury
2120,121,Sydney - North Sydney and Hornsby
2120,126,Sydney - Ryde
2121,125,Sydney - Parramatta
2121,126,Sydney - Ryde
2122,125,Sydney - Parramatta
2122,126,Sydney - Ryde
2123,125,Sydney - Parramatta
2125,115,Sydney - Baulkham Hills and Hawkesbury
2125,126,Sydney - Ryde
2126,115,Sydney - Baulkham Hills and Hawkesbury
2127,125,Sydney - Parramatta
2128,125,Sydney - Parramatta
2129,120,Sydney - Inner West
2130,120,Sydney - Inner West
2131,120,Sydney - Inner West
2132,120,Sydney - Inner West
2133,120,Sydney - Inner West
2134,120,Sydney - Inner West
2135,120,Sydney - Inner West
2136,119,Sydney - Inner South West
2136,120,Sydney - Inner West
2137,120,Sydney - Inner West
2138,120,Sydney - Inner West
2139,120,Sydney - Inner West
2140,120,Sydney - Inner West
2141,125,Sydney - Parramatta
2142,125,Sydney - Parramatta
2143,119,Sydney - Inner South West
2143,125,Sydney - Parramatta
2144,125,Sydney - Parramatta
2145,125,Sydney - Parramatta
2146,116,Sydney - Blacktown
2146,125,Sydney - Parramatta
2147,116,Sydney - Blacktown
2148,116,Sydney - Blacktown
2150,125,Sydney - Parramatta
2151,125,Sydney - Parramatta
2152,125,Sydney - Parramatta
2153,115,Sydney - Baulkham Hills and Hawkesbury
